ECLID	DESCRIPTION	QTY	SALES	COGS-GP	GP-PCT
55699	3M 8882-750/F HIGH GEL	4	87.84	32.80	37.3
817	3M MV10-10FBX 12-10 INS FORK TERM	50	24.94	6.04	24.2
849	3M R/Y-JUG RED/YEL CONN	1000	76.80	32.81	42.7
1355	APP 8456R 4-IN SQR 3/4 SWIV HGR CVR	6	85.62	18.48	21.6
1451	APP FS175 1G MALL FS BOX	2	36.35	8.81	24.2
1656	ARL 3838AST 1/2 DPLX FLEX CBL CONN	50	68.99	10.55	15.3
1659	ARL 38AST 1/2 INS MC CONN	100	59.00	9.03	15.3
24156	ARL 4010AST SNAP-IN CABLE CONN	100	58.00	8.03	13.8
1668	ARL 40AST SNAP-IN CABLE CONN	100	59.00	9.03	15.3
34092	ARL 8404 MC-BX OFFSET THRT OPEN	10	29.37	7.29	24.8
1727	ARL 841 3/8-IN NMC CONN	12	3.60	0.96	26.7
1736	ARL 854 1-1/4 90DEG SQZ FLEX CONN	3	27.71	6.72	24.3
1744	ARL BE1 1 GANG PLASTIC BOX EXTENDER	15	14.88	4.02	27.0
1756	ARL EMT100 1-IN NM TERMINATOR	10	2.83	0.62	21.9
1759	ARL EMT200 2-IN NM TERMINATOR	12	10.86	2.38	21.9
1761	ARL EMT300 3-IN NM TERMINATOR	12	29.66	6.49	21.9
1763	ARL EMT400 4-IN NM TERMINATOR	50	185.55	40.60	21.9
1765	ARL EMT75 3/4-IN NM TERMINATOR	4	0.32	0.07	21.9
18926	ARL GF863 1-IN EMT TO FLEX COUP	1	2.67	0.65	24.3
1777	ARL GF864 1-1/4 EMT TO FLEX CPLG	5	24.66	4.93	20.0
1783	ARL GL100 1-IN D/C GRD LOCKNUT	3	5.73	1.42	24.8
1785	ARL GL150 1-1/2-IN D/C GRD LOCKNUT	1	3.31	0.82	24.8
22657	ARL L15A 3/8-1 SCW SDL CONN	100	73.60	19.88	27.0
17990	ARL NM900 1/2-IN PLS KNOCK OUT SEAL	25	2.71	0.67	24.7
1863	B-LINE B101-ZN 2H CORNER ANGLE	16	37.13	17.13	46.1
1869	B-LINE B104-ZN 4H CORNER ANGLE	12	43.97	15.77	35.9
23946	B-LINE B201-ZN-3/8 SQR WASHER	50	51.90	16.59	32.0
1901	B-LINE B2013PA-ZN-2 PLTD COND CLAMP	1	1.77	0.87	49.2
1903	B-LINE B2015PA-ZN-3 PLTD COND CLMP	45	79.53	29.97	37.7
1905	B-LINE B2017PA-ZN 4-IN PLT COND CLP	38	85.28	32.14	37.7
1914	B-LINE B2208PA-ZN-1/2 PLT COND CLMP	49	40.23	12.35	30.7
1915	B-LINE B2209PA-ZN-3/4 PLT COND CLMP	186	159.58	49.08	30.8
1918	B-LINE B2210PA-ZN-1 PLTD COND CLMP	210	205.58	67.93	33.0
1919	B-LINE B2211PA-ZN 1-1/4 PLT CND CLP	51	56.04	20.37	36.3
1921	B-LINE B2213PA-ZN-2 PLTD COND CLMP	92	130.73	40.90	31.3
1926	B-LINE B22S-120GLV SLOT CHANNEL	150	220.50	66.24	30.0
1959	B-LINE B54S-120GLV SLOT CHANNEL	90	96.30	23.91	24.8
1970	B-LINE BA50 T-BAR BOX HANGER	900	2,560.95	448.36	17.5
1969	B-LINE BA50E T-BAR BOX HANGER EXT	1495	1,922.27	328.15	17.1
1973	B-LINE BB2-16T ADJ BOX MTG BRKT	100	131.56	20.25	15.4
1976	B-LINE BB2-24T ADJ BOX MTG BRKT	112	196.52	30.35	15.4
1978	B-LINE BB4-23 METAL STUD BOX SUPP	25	19.08	3.84	20.1
1979	B-LINE BB8-16 DRYWALL BOX SUPPORT	26	39.22	4.31	11.0
37751	B-LINE BH4-PNA PIN DRIVE FASTENER	500	637.25	127.45	20.0
1990	B-LINE BL1 SUPP CLIP	100	44.34	3.74	8.4
1991	B-LINE BL3-12 3/4 PIPE BRACKET	100	20.33	3.17	15.6
1992	B-LINE BL3-16 1 PIPE BRACKET	100	22.44	3.52	15.7
1994	B-LINE BN-4 1/4 PUSH NUT	20000	1,600.00	120.00	7.5
1998	B-LINE BW-12 COND TO WIRE CLIP	900	176.13	25.40	14.4
1999	B-LINE BW-16 COND TO WIRE CLIP	600	129.24	7.44	5.8
2000	B-LINE BW-20 COND TO WIRE CLIP	600	187.92	12.07	6.4
2002	B-LINE BW-8 COND TO WIRE CLIP	900	151.47	12.69	8.4
2001	B-LINE BW4 COND TO WIRE CLIP	200	36.42	1.00	2.7
2005	B-LINE N224-ZN-1/4 PLTD SPRING NUT	37	26.62	9.44	35.5
2007	B-LINE N228-ZN-3/8 PLTD SPRING NUT	66	52.78	20.85	39.5
2052	BOWERS 300-BW BLANK CVR FOR 3-0 BOX	4	3.49	0.96	27.5
2090	BOWERS 4-SDW-3/4 4-IN SQR OUTLET BX	11	12.03	2.67	22.2
2094	BOWERS 4-SW-1/2 4-IN SQR BOX	30	19.42	8.39	43.2
2166	BPORT 102-S 3/4-IN STL LOCKNUT	4	0.45	0.17	37.8
2170	BPORT 106-S 2-IN STL LOCKNUT	4	2.27	0.88	38.8
2191	BPORT 230-DC2 1/2 S/SCR CR EMT CONN	195	25.87	5.20	20.1
2193	BPORT 231-DC2 3/4 S/SCR CR EMT CONN	105	24.17	4.83	20.0
2195	BPORT 232-DC2 1-IN S/SCR CR EMT CON	100	44.06	8.94	20.3
2197	BPORT 233-DC2 1-1/4 S/SCR CR EMT	7	5.41	1.08	20.0
2200	BPORT 234-DC2 1-1/2 S/SCR EMT CONN	6	6.29	1.26	20.0
2202	BPORT 235-DC2 2-IN S/SCR CR EMT CON	11	15.43	3.08	20.0
2206	BPORT 237-DC2 3-IN S/SCR CR EMT CON	4	15.35	3.07	20.0
2210	BPORT 240-DC 1/2 S/SCR CR EMT CPLG	130	19.87	3.98	20.0
2211	BPORT 241-DC 3/4 S/SCR CR EMT CPLG	210	51.06	10.21	20.0
2213	BPORT 242-DC 1-IN S/SCR CR EMT CPLG	285	124.87	24.97	20.0
2214	BPORT 243-DC 1-1/4 S/SCR EMT CPLG	74	56.80	11.36	20.0
2215	BPORT 244-DC 1-1/2 S/SCR CR EMT CPL	15	16.35	3.27	20.0
